Dataset_Type,Week,Month,Day,Food,Drinks,Transportation,Laundry,Total_Expense,Daily_Budget,Budget_Status
Train,1,Month 1,Monday,48050,12700,29950,0,90700,175000,WITHIN_BUDGET
Train,1,Month 1,Tuesday,40500,12300,27900,0,80700,175000,WITHIN_BUDGET
Train,1,Month 1,Wednesday,42300,13650,29250,0,85200,175000,WITHIN_BUDGET
Train,1,Month 1,Thursday,43600,11500,29400,0,84500,175000,WITHIN_BUDGET
Train,1,Month 1,Friday,50400,13750,35050,0,99200,175000,WITHIN_BUDGET
Train,1,Month 1,Saturday,57500,17300,38150,0,112950,175000,WITHIN_BUDGET
Train,1,Month 1,Sunday,56400,17500,38050,0,111950,175000,WITHIN_BUDGET
Train,2,Month 1,Monday,52500,14800,31100,0,98400,175000,WITHIN_BUDGET
Train,2,Month 1,Tuesday,44800,13150,27450,0,85400,175000,WITHIN_BUDGET
Train,2,Month 1,Wednesday,47350,14300,34650,29100,125400,175000,WITHIN_BUDGET
Train,2,Month 1,Thursday,51200,13100,29050,0,93350,175000,WITHIN_BUDGET
Train,2,Month 1,Friday,54900,15850,33850,0,104600,175000,WITHIN_BUDGET
Train,2,Month 1,Saturday,59400,18150,43650,0,121200,175000,WITHIN_BUDGET
Train,2,Month 1,Sunday,57800,18150,35350,0,111300,175000,WITHIN_BUDGET
Train,3,Month 1,Monday,48000,14500,29700,0,92200,175000,WITHIN_BUDGET
Train,3,Month 1,Tuesday,46600,12500,27200,0,86300,175000,WITHIN_BUDGET
Train,3,Month 1,Wednesday,46400,13400,30000,0,89800,175000,WITHIN_BUDGET
Train,3,Month 1,Thursday,46000,12950,29100,0,88050,175000,WITHIN_BUDGET
Train,3,Month 1,Friday,52500,15950,36450,0,104900,175000,WITHIN_BUDGET
Train,3,Month 1,Saturday,60550,18550,39550,0,118650,175000,WITHIN_BUDGET
Train,3,Month 1,Sunday,57450,16550,33400,0,107400,175000,WITHIN_BUDGET
Train,4,Month 1,Monday,50800,15100,33250,0,99150,175000,WITHIN_BUDGET
Train,4,Month 1,Tuesday,46850,13800,29750,0,90400,175000,WITHIN_BUDGET
Train,4,Month 1,Wednesday,51800,15600,33900,0,101300,175000,WITHIN_BUDGET
Train,4,Month 1,Thursday,50000,13200,31400,0,94600,175000,WITHIN_BUDGET
Train,4,Month 1,Friday,55650,16900,38950,0,111500,175000,WITHIN_BUDGET
Train,4,Month 1,Saturday,64100,19600,45750,0,129450,175000,WITHIN_BUDGET
Train,4,Month 1,Sunday,61950,18400,36950,24850,142150,175000,WITHIN_BUDGET
Train,5,Month 2,Monday,52850,14950,33700,0,101500,175000,WITHIN_BUDGET
Train,5,Month 2,Tuesday,46800,11700,28300,0,86800,175000,WITHIN_BUDGET
Train,5,Month 2,Wednesday,50250,14350,31800,0,96400,175000,WITHIN_BUDGET
Train,5,Month 2,Thursday,44200,12450,30750,0,87400,175000,WITHIN_BUDGET
Train,5,Month 2,Friday,52000,16700,34350,0,103050,175000,WITHIN_BUDGET
Train,5,Month 2,Saturday,62200,19800,44500,0,126500,175000,WITHIN_BUDGET
Train,5,Month 2,Sunday,55950,17450,34450,0,107850,175000,WITHIN_BUDGET
Train,6,Month 2,Monday,51800,15400,34500,0,101700,175000,WITHIN_BUDGET
Train,6,Month 2,Tuesday,51000,13350,31550,0,95900,175000,WITHIN_BUDGET
Train,6,Month 2,Wednesday,54350,15900,36400,28550,135200,175000,WITHIN_BUDGET
Train,6,Month 2,Thursday,49100,13850,33200,0,96150,175000,WITHIN_BUDGET
Train,6,Month 2,Friday,55300,17500,39750,0,112550,175000,WITHIN_BUDGET
Train,6,Month 2,Saturday,64900,20000,45600,0,130500,175000,WITHIN_BUDGET
Train,6,Month 2,Sunday,57850,18800,36900,0,113550,175000,WITHIN_BUDGET
Train,7,Month 2,Monday,49000,14300,32150,0,95450,175000,WITHIN_BUDGET
Train,7,Month 2,Tuesday,45900,13750,28350,0,88000,175000,WITHIN_BUDGET
Train,7,Month 2,Wednesday,51500,15050,33000,0,99550,175000,WITHIN_BUDGET
Train,7,Month 2,Thursday,50650,13700,31600,0,95950,175000,WITHIN_BUDGET
Train,7,Month 2,Friday,55700,16050,35800,0,107550,175000,WITHIN_BUDGET
Train,7,Month 2,Saturday,63150,18900,42250,0,124300,175000,WITHIN_BUDGET
Train,7,Month 2,Sunday,54250,17650,34950,0,106850,175000,WITHIN_BUDGET
Train,8,Month 2,Monday,57350,16400,37000,0,110750,175000,WITHIN_BUDGET
Train,8,Month 2,Tuesday,50350,15150,34250,0,99750,175000,WITHIN_BUDGET
Train,8,Month 2,Wednesday,54250,16450,36350,0,107050,175000,WITHIN_BUDGET
Train,8,Month 2,Thursday,51250,14700,33650,0,99600,175000,WITHIN_BUDGET
Train,8,Month 2,Friday,59300,17500,39550,0,116350,175000,WITHIN_BUDGET
Train,8,Month 2,Saturday,69200,21750,45800,0,136750,175000,WITHIN_BUDGET
Train,8,Month 2,Sunday,63300,19950,37250,25100,145600,175000,WITHIN_BUDGET
Train,9,Month 3,Monday,52400,16050,32400,0,100850,175000,WITHIN_BUDGET
Train,9,Month 3,Tuesday,50200,14350,30800,0,95350,175000,WITHIN_BUDGET
Train,9,Month 3,Wednesday,51300,16000,33800,0,101100,175000,WITHIN_BUDGET
Train,9,Month 3,Thursday,51200,14350,31550,0,97100,175000,WITHIN_BUDGET
