Dataset_Type,Week,Month,Day,Food,Drinks,Transportation,Laundry,Rent,Total_Expense,Daily_Budget,Budget_Status
Train,1,Month 1,Monday,45000,13000,32000,0,1200000,1290000,150000,OVER_BUDGET
Train,1,Month 1,Tuesday,42000,12000,29000,0,0,83000,150000,WITHIN_BUDGET
Train,1,Month 1,Wednesday,46000,14000,31000,0,0,91000,150000,WITHIN_BUDGET
Train,1,Month 1,Thursday,43000,12500,28000,0,0,83500,150000,WITHIN_BUDGET
Train,1,Month 1,Friday,47000,13500,33000,0,0,93500,150000,WITHIN_BUDGET
Train,1,Month 1,Saturday,52000,16000,38000,0,0,106000,150000,WITHIN_BUDGET
Train,1,Month 1,Sunday,50000,15000,30000,0,0,95000,150000,WITHIN_BUDGET
Train,2,Month 1,Monday,46200,13350,32700,0,0,92250,150000,WITHIN_BUDGET
Train,2,Month 1,Tuesday,43200,12350,29700,0,0,85250,150000,WITHIN_BUDGET
Train,2,Month 1,Wednesday,47200,14350,31700,35000,0,128250,150000,WITHIN_BUDGET
Train,2,Month 1,Thursday,44200,12850,28700,0,0,85750,150000,WITHIN_BUDGET
Train,2,Month 1,Friday,48200,13850,33700,0,0,95750,150000,WITHIN_BUDGET
Train,2,Month 1,Saturday,53200,16350,38700,0,0,108250,150000,WITHIN_BUDGET
Train,2,Month 1,Sunday,51200,15350,30700,35000,0,132250,150000,WITHIN_BUDGET
Train,3,Month 1,Monday,47400,13700,33400,0,0,94500,150000,WITHIN_BUDGET
Train,3,Month 1,Tuesday,44400,12700,30400,0,0,87500,150000,WITHIN_BUDGET
Train,3,Month 1,Wednesday,48400,14700,32400,0,0,95500,150000,WITHIN_BUDGET
Train,3,Month 1,Thursday,45400,13200,29400,0,0,88000,150000,WITHIN_BUDGET
Train,3,Month 1,Friday,49400,14200,34400,0,0,98000,150000,WITHIN_BUDGET
Train,3,Month 1,Saturday,54400,16700,39400,0,0,110500,150000,WITHIN_BUDGET
Train,3,Month 1,Sunday,52400,15700,31400,0,0,99500,150000,WITHIN_BUDGET
Train,4,Month 1,Monday,48600,14050,34100,0,0,96750,150000,WITHIN_BUDGET
Train,4,Month 1,Tuesday,45600,13050,31100,0,0,89750,150000,WITHIN_BUDGET
Train,4,Month 1,Wednesday,49600,15050,33100,35000,0,132750,150000,WITHIN_BUDGET
Train,4,Month 1,Thursday,46600,13550,30100,0,0,90250,150000,WITHIN_BUDGET
Train,4,Month 1,Friday,50600,14550,35100,0,0,100250,150000,WITHIN_BUDGET
Train,4,Month 1,Saturday,55600,17050,40100,0,0,112750,150000,WITHIN_BUDGET
Train,4,Month 1,Sunday,53600,16050,32100,35000,0,136750,150000,WITHIN_BUDGET
Train,5,Month 2,Monday,49800,14400,34800,0,1200000,1299000,150000,OVER_BUDGET
Train,5,Month 2,Tuesday,46800,13400,31800,0,0,92000,150000,WITHIN_BUDGET
Train,5,Month 2,Wednesday,50800,15400,33800,0,0,100000,150000,WITHIN_BUDGET
Train,5,Month 2,Thursday,47800,13900,30800,0,0,92500,150000,WITHIN_BUDGET
Train,5,Month 2,Friday,51800,14900,35800,0,0,102500,150000,WITHIN_BUDGET
Train,5,Month 2,Saturday,56800,17400,40800,0,0,115000,150000,WITHIN_BUDGET
Train,5,Month 2,Sunday,54800,16400,32800,0,0,104000,150000,WITHIN_BUDGET
Train,6,Month 2,Monday,51000,14750,35500,0,0,101250,150000,WITHIN_BUDGET
Train,6,Month 2,Tuesday,48000,13750,32500,0,0,94250,150000,WITHIN_BUDGET
Train,6,Month 2,Wednesday,52000,15750,34500,35000,0,137250,150000,WITHIN_BUDGET
Train,6,Month 2,Thursday,49000,14250,31500,0,0,94750,150000,WITHIN_BUDGET
Train,6,Month 2,Friday,53000,15250,36500,0,0,104750,150000,WITHIN_BUDGET
Train,6,Month 2,Saturday,58000,17750,41500,0,0,117250,150000,WITHIN_BUDGET
Train,6,Month 2,Sunday,56000,16750,33500,35000,0,141250,150000,WITHIN_BUDGET
Train,7,Month 2,Monday,52200,15100,36200,0,0,103500,150000,WITHIN_BUDGET
Train,7,Month 2,Tuesday,49200,14100,33200,0,0,96500,150000,WITHIN_BUDGET
Train,7,Month 2,Wednesday,53200,16100,35200,0,0,104500,150000,WITHIN_BUDGET
Train,7,Month 2,Thursday,50200,14600,32200,0,0,97000,150000,WITHIN_BUDGET
Train,7,Month 2,Friday,54200,15600,37200,0,0,107000,150000,WITHIN_BUDGET
Train,7,Month 2,Saturday,59200,18100,42200,0,0,119500,150000,WITHIN_BUDGET
Train,7,Month 2,Sunday,57200,17100,34200,0,0,108500,150000,WITHIN_BUDGET
Train,8,Month 2,Monday,53400,15450,36900,0,0,105750,150000,WITHIN_BUDGET
Train,8,Month 2,Tuesday,50400,14450,33900,0,0,98750,150000,WITHIN_BUDGET
Train,8,Month 2,Wednesday,54400,16450,35900,35000,0,141750,150000,WITHIN_BUDGET
Train,8,Month 2,Thursday,51400,14950,32900,0,0,99250,150000,WITHIN_BUDGET
Train,8,Month 2,Friday,55400,15950,37900,0,0,109250,150000,WITHIN_BUDGET
Train,8,Month 2,Saturday,60400,18450,42900,0,0,121750,150000,WITHIN_BUDGET
Train,8,Month 2,Sunday,58400,17450,34900,35000,0,145750,150000,WITHIN_BUDGET
Train,9,Month 3,Monday,54600,15800,37600,0,1200000,1308000,150000,OVER_BUDGET
Train,9,Month 3,Tuesday,51600,14800,34600,0,0,101000,150000,WITHIN_BUDGET
Train,9,Month 3,Wednesday,55600,16800,36600,0,0,109000,150000,WITHIN_BUDGET
Train,9,Month 3,Thursday,52600,15300,33600,0,0,101500,150000,WITHIN_BUDGET
Train,9,Month 3,Friday,56600,16300,38600,0,0,111500,150000,WITHIN_BUDGET
Train,9,Month 3,Saturday,61600,18800,43600,0,0,124000,150000,WITHIN_BUDGET
Train,9,Month 3,Sunday,59600,17800,35600,0,0,113000,150000,WITHIN_BUDGET
Train,10,Month 3,Monday,55800,16150,38300,0,0,110250,150000,WITHIN_BUDGET
Train,10,Month 3,Tuesday,52800,15150,35300,0,0,103250,150000,WITHIN_BUDGET
Train,10,Month 3,Wednesday,56800,17150,37300,35000,0,146250,150000,WITHIN_BUDGET
Train,10,Month 3,Thursday,53800,15650,34300,0,0,103750,150000,WITHIN_BUDGET
Train,10,Month 3,Friday,57800,16650,39300,0,0,113750,150000,WITHIN_BUDGET
Train,10,Month 3,Saturday,62800,19150,44300,0,0,126250,150000,WITHIN_BUDGET
Train,10,Month 3,Sunday,60800,18150,36300,35000,0,150250,150000,OVER_BUDGET
Train,11,Month 3,Monday,57000,16500,39000,0,0,112500,150000,WITHIN_BUDGET
Train,11,Month 3,Tuesday,54000,15500,36000,0,0,105500,150000,WITHIN_BUDGET
Train,11,Month 3,Wednesday,58000,17500,38000,0,0,113500,150000,WITHIN_BUDGET
Train,11,Month 3,Thursday,55000,16000,35000,0,0,106000,150000,WITHIN_BUDGET
Train,11,Month 3,Friday,59000,17000,40000,0,0,116000,150000,WITHIN_BUDGET
Train,11,Month 3,Saturday,64000,19500,45000,0,0,128500,150000,WITHIN_BUDGET
Train,11,Month 3,Sunday,62000,18500,37000,0,0,117500,150000,WITHIN_BUDGET
Train,12,Month 3,Monday,58200,16850,39700,0,0,114750,150000,WITHIN_BUDGET
Train,12,Month 3,Tuesday,55200,15850,36700,0,0,107750,150000,WITHIN_BUDGET
Train,12,Month 3,Wednesday,59200,17850,38700,35000,0,150750,150000,OVER_BUDGET
Train,12,Month 3,Thursday,56200,16350,35700,0,0,108250,150000,WITHIN_BUDGET
Train,12,Month 3,Friday,60200,17350,40700,0,0,118250,150000,WITHIN_BUDGET
Train,12,Month 3,Saturday,65200,19850,45700,0,0,130750,150000,WITHIN_BUDGET
Train,12,Month 3,Sunday,63200,18850,37700,35000,0,154750,150000,OVER_BUDGET
